name;beta;lambda
Sektor01Speedlimit.csv;1;3000
Sektor02Speedlimit.csv;100;3000
Sektor02Speedlimit.csv;1;3000
Sektor03Speedlimit.csv;100;3000
Sektor03Speedlimit.csv;100;3000
Sektor04Speedlimit.csv;100;3000
Sektor05Speedlimit.csv;100;3000
Sektor06Speedlimit.csv;100;3000
Sektor07Speedlimit.csv;100;3000
Sektor08Speedlimit.csv;100;3000
Sektor09Speedlimit.csv;100;3000
Sektor09Speedlimit.csv;100;3000
Sektor10Speedlimit.csv;100;3000
Sektor10Speedlimit.csv;100;3000
Sektor11Speedlimit.csv;10;3000
Sektor12Speedlimit.csv;100;3000
Sektor14Speedlimit.csv;1;3000
Sektor14Speedlimit.csv;100;3000
