name,beta,lambda
Sektor01Speedlimit.csv,25930.0000953998,5
Sektor02Speedlimit.csv,268717.026259639,5
Sektor02Speedlimit.csv,70629.0933575319,5
Sektor03Speedlimit.csv,379901.102753444,5
Sektor03Speedlimit.csv,162687.97817857,5
Sektor04Speedlimit.csv,6467.87748979549,5
Sektor05Speedlimit.csv,130978.915023246,5
Sektor06Speedlimit.csv,325653.243959838,5
Sektor07Speedlimit.csv,18939.2269685403,5
Sektor08Speedlimit.csv,819585.737703692,5
Sektor09Speedlimit.csv,311968.637365577,5
Sektor09Speedlimit.csv,80648.1112844091,5
Sektor10Speedlimit.csv,1000000,5
Sektor10Speedlimit.csv,72373.040005408,5
Sektor11Speedlimit.csv,252843.901363075,5
Sektor12Speedlimit.csv,88415.7045962725,5
Sektor14Speedlimit.csv,385538.138949351,5
Sektor14Speedlimit.csv,338545.552180157,5
