name;beta;lambda
Sektor01Speedlimit.csv;100;100
Sektor02Speedlimit.csv;100;100
Sektor02Speedlimit.csv;100;100
Sektor03Speedlimit.csv;100;100
Sektor03Speedlimit.csv;100;100
Sektor04Speedlimit.csv;100;100
Sektor05Speedlimit.csv;100;100
Sektor06Speedlimit.csv;100;100
Sektor07Speedlimit.csv;100;100
Sektor08Speedlimit.csv;100;100
Sektor09Speedlimit.csv;100;100
Sektor09Speedlimit.csv;100;100
Sektor10Speedlimit.csv;100;100
Sektor10Speedlimit.csv;100;100
Sektor11Speedlimit.csv;100;100
Sektor12Speedlimit.csv;100;100
Sektor14Speedlimit.csv;100;100
Sektor14Speedlimit.csv;100;100
